,,N,-C,-C(hex),(-)4k+3,(-)4k+3(hex),(-)4k+1,(-)4k+1(hex),+E,+E(hex),+4k+3,+4k+3(hex),+4k+1,+4k+1(hex)
1,<<,101,-69,-0x45,,,-99,-0x63,+81,+0x51,+399,+0x18f,,
1,<<,102,-33,-0x21,,,-63,-0x3f,+267,+0x10b,,,+325,+0x145
1,<<,103,-97,-0x61,,,-127,-0x7f,+81,+0x51,+239,+0xef,,
1,<<,104,-17,-0x11,,,-395,-0x18b,+111,+0x6f,,,+337,+0x151
1,<<,105,-13,-0xd,,,-139,-0x8b,+39,+0x27,,,+77,+0x4d
1,<<,106,-117,-0x75,,,-407,-0x197,+99,+0x63,,,+165,+0xa5
1,<<,107,-1,-0x1,,,-171,-0xab,+39,+0x27,,,+509,+0x1fd
1,<<,108,-59,-0x3b,-137,-0x89,,,+33,+0x21,+87,+0x57,,
1,<<,109,-31,-0x1f,-165,-0xa5,,,+147,+0x93,,,+261,+0x105
1,<<,110,-21,-0x15,,,-135,-0x87,+27,+0x1b,,,+193,+0xc1
1,<<,111,-37,-0x25,,,-175,-0xaf,+51,+0x33,,,+129,+0x81
1,<<,112,-75,-0x4b,-189,-0xbd,,,+25,+0x19,+91,+0x5b,,
1,<<,113,-133,-0x85,,,-211,-0xd3,+281,+0x119,+515,+0x203,,
1,<<,114,-11,-0xb,-53,-0x35,,,+43,+0x2b,,,+129,+0x81
1,<<,115,-67,-0x43,-85,-0x55,,,+71,+0x47,,,+209,+0xd1
1,<<,116,-3,-0x3,-69,-0x45,,,+33,+0x21,+427,+0x1ab,,
1,<<,117,-279,-0x117,-373,-0x175,,,+29,+0x1d,+35,+0x23,,
1,<<,118,-5,-0x5,,,-111,-0x6f,+25,+0x19,+163,+0xa3,,
1,<<,119,-69,-0x45,,,-231,-0xe7,+9,+0x9,+303,+0x12f,,
1,<<,120,-119,-0x77,-765,-0x2fd,,,+451,+0x1c3,,,+525,+0x20d
1,<<,121,-73,-0x49,,,-531,-0x213,+41,+0x29,+227,+0xe3,,
1,<<,122,-3,-0x3,-113,-0x71,,,+277,+0x115,+375,+0x177,,
1,<<,123,-67,-0x43,-241,-0xf1,,,+165,+0xa5,+423,+0x1a7,,
1,<<,124,-59,-0x3b,-165,-0xa5,,,+67,+0x43,,,+73,+0x49
1,<<,125,-9,-0x9,,,-135,-0x87,+27,+0x1b,,,+321,+0x141
1,<<,126,-137,-0x89,,,-203,-0xcb,+7,+0x7,,,+109,+0x6d
1,<<,127,-1,-0x1,,,-39,-0x27,+29,+0x1d,+123,+0x7b,,
1,<<,128,-159,-0x9f,-173,-0xad,,,+51,+0x33,,,+81,+0x51
1,<<,129,-25,-0x19,,,-315,-0x13b,+17,+0x11,+75,+0x4b,,
1,<<,130,-5,-0x5,,,-27,-0x1b,+169,+0xa9,+403,+0x193,,
1,<<,131,-69,-0x45,,,-271,-0x10f,+39,+0x27,,,+309,+0x135
1,<<,132,-347,-0x15b,-405,-0x195,,,+67,+0x43,,,+157,+0x9d
1,<<,133,-99,-0x63,-453,-0x1c5,,,+27,+0x1b,,,+125,+0x7d
1,<<,134,-45,-0x2d,,,-495,-0x1ef,+27,+0x1b,,,+265,+0x109
1,<<,135,-45,-0x2d,,,-55,-0x37,+33,+0x21,+311,+0x137,,
1,<<,136,-113,-0x71,,,-243,-0xf3,+85,+0x55,+147,+0x93,,
1,<<,137,-13,-0xd,,,-111,-0x6f,+155,+0x9b,,,+177,+0xb1
1,<<,138,-105,-0x69,,,-203,-0xcb,+87,+0x57,,,+145,+0x91
1,<<,139,-187,-0xbb,-301,-0x12d,,,+155,+0x9b,,,+273,+0x111
1,<<,140,-27,-0x1b,-57,-0x39,,,+37,+0x25,+207,+0xcf,,
1,<<,141,-9,-0x9,,,-103,-0x67,+5,+0x5,+95,+0x5f,,
1,<<,142,-111,-0x6f,-365,-0x16d,,,+217,+0xd9,+303,+0x12f,,
1,<<,143,-69,-0x45,,,-127,-0x7f,+5,+0x5,+359,+0x167,,
1,<<,144,-83,-0x53,-369,-0x171,,,+175,+0xaf,,,+465,+0x1d1
1,<<,145,-151,-0x97,-453,-0x1c5,,,+27,+0x1b,,,+137,+0x89
1,<<,146,-153,-0x99,,,-335,-0x14f,+85,+0x55,+163,+0xa3,,
1,<<,147,-145,-0x91,,,-387,-0x183,+51,+0x33,,,+149,+0x95
1,<<,148,-167,-0xa7,-197,-0xc5,,,+91,+0x5b,,,+253,+0xfd
1,<<,149,-31,-0x1f,-33,-0x21,,,+69,+0x45,+407,+0x197,,
1,<<,150,-3,-0x3,-5,-0x5,,,+147,+0x93,,,+385,+0x181
