,,N,-C,-C(hex),(-)4k+3,(-)4k+3(hex),(-)4k+1,(-)4k+1(hex),+E,+E(hex),+4k+3,+4k+3(hex),+4k+1,+4k+1(hex)
1,<<,5315,-645,-0x285,,,-1027,-0x403,+3911,+0xf47,,,+5129,+0x1409
1,<<,5316,-4307,-0x10d3,-7013,-0x1b65,,,+6435,+0x1923,,,+10341,+0x2865
1,<<,5317,-663,-0x297,-23049,-0x5a09,,,+2375,+0x947,,,+3525,+0xdc5
1,<<,5318,-6851,-0x1ac3,-14541,-0x38cd,,,+3843,+0xf03,,,+5637,+0x1605
1,<<,5319,-7315,-0x1c93,-12141,-0x2f6d,,,+1491,+0x5d3,,,+2741,+0xab5
1,<<,5320,-18243,-0x4743,-23517,-0x5bdd,,,+1593,+0x639,+21751,+0x54f7,,
1,<<,5321,-3261,-0xcbd,,,-5851,-0x16db,+21215,+0x52df,,,+27701,+0x6c35
1,<<,5322,-731,-0x2db,-17493,-0x4455,,,+817,+0x331,+3595,+0xe0b,,
1,<<,5323,-27,-0x1b,-6669,-0x1a0d,,,+623,+0x26f,,,+17861,+0x45c5
1,<<,5324,-7659,-0x1deb,-13277,-0x33dd,,,+6885,+0x1ae5,+8607,+0x219f,,
1,<<,5325,-2079,-0x81f,-9205,-0x23f5,,,+1757,+0x6dd,+11915,+0x2e8b,,
1,<<,5326,-9111,-0x2397,-22001,-0x55f1,,,+997,+0x3e5,+13959,+0x3687,,
1,<<,5327,-2947,-0xb83,-3897,-0xf39,,,+551,+0x227,,,+17061,+0x42a5
1,<<,5328,-2307,-0x903,-7473,-0x1d31,,,+1333,+0x535,+4083,+0xff3,,
1,<<,5329,-3189,-0xc75,,,-6999,-0x1b57,+2307,+0x903,,,+21029,+0x5225
1,<<,5330,-4581,-0x11e5,,,-9651,-0x25b3,+3775,+0xebf,,,+5689,+0x1639
1,<<,5331,-14265,-0x37b9,,,-17619,-0x44d3,+2751,+0xabf,,,+9773,+0x262d
1,<<,5332,-4535,-0x11b7,-6033,-0x1791,,,+5187,+0x1443,,,+8533,+0x2155
1,<<,5333,-1629,-0x65d,,,-16479,-0x405f,+39,+0x27,,,+1941,+0x795
1,<<,5334,-1367,-0x557,-6965,-0x1b35,,,+2787,+0xae3,,,+3853,+0xf0d
1,<<,5335,-775,-0x307,-15217,-0x3b71,,,+6771,+0x1a73,,,+9969,+0x26f1
1,<<,5336,-1553,-0x611,,,-26235,-0x667b,+1411,+0x583,,,+6381,+0x18ed
1,<<,5337,-639,-0x27f,-1245,-0x4dd,,,+735,+0x2df,,,+897,+0x381
1,<<,5338,-4241,-0x1091,,,-15683,-0x3d43,+6835,+0x1ab3,,,+9793,+0x2641
1,<<,5339,-1261,-0x4ed,,,-2487,-0x9b7,+6189,+0x182d,+11211,+0x2bcb,,
1,<<,5340,-873,-0x369,,,-1047,-0x417,+3817,+0xee9,+13063,+0x3307,,
1,<<,5341,-11743,-0x2ddf,-17581,-0x44ad,,,+2691,+0xa83,,,+8081,+0x1f91
1,<<,5342,-17841,-0x45b1,,,-20723,-0x50f3,+6633,+0x19e9,+13039,+0x32ef,,
1,<<,5343,-2079,-0x81f,-9729,-0x2601,,,+3081,+0xc09,+12351,+0x303f,,
1,<<,5344,-3177,-0xc69,,,-10535,-0x2927,+12627,+0x3153,,,+16101,+0x3ee5
1,<<,5345,-1305,-0x519,,,-4611,-0x1203,+1815,+0x717,,,+3561,+0xde9
1,<<,5346,-7941,-0x1f05,,,-44111,-0xac4f,+1389,+0x56d,+9459,+0x24f3,,
1,<<,5347,-6109,-0x17dd,,,-9747,-0x2613,+491,+0x1eb,,,+2913,+0xb61
1,<<,5348,-1263,-0x4ef,-2985,-0xba9,,,+1465,+0x5b9,+3031,+0xbd7,,
1,<<,5349,-5763,-0x1683,-16741,-0x4165,,,+351,+0x15f,,,+2321,+0x911
1,<<,5350,-1751,-0x6d7,-11085,-0x2b4d,,,+4999,+0x1387,,,+7197,+0x1c1d
1,<<,5351,-2959,-0xb8f,-13581,-0x350d,,,+3525,+0xdc5,+4383,+0x111f,,
1,<<,5352,-5249,-0x1481,,,-6603,-0x19cb,+4221,+0x107d,+10827,+0x2a4b,,
1,<<,5353,-175,-0xaf,-5389,-0x150d,,,+1787,+0x6fb,,,+3137,+0xc41
1,<<,5354,-4871,-0x1307,-20337,-0x4f71,,,+705,+0x2c1,+12123,+0x2f5b,,
1,<<,5355,-81,-0x51,,,-22987,-0x59cb,+2879,+0xb3f,,,+4785,+0x12b1
1,<<,5356,-417,-0x1a1,,,-24927,-0x615f,+3723,+0xe8b,,,+7501,+0x1d4d
1,<<,5357,-1141,-0x475,,,-1555,-0x613,+1545,+0x609,+4475,+0x117b,,
1,<<,5358,-5777,-0x1691,,,-10175,-0x27bf,+813,+0x32d,+7435,+0x1d0b,,
1,<<,5359,-1905,-0x771,,,-7987,-0x1f33,+1673,+0x689,+3875,+0xf23,,
1,<<,5360,-2225,-0x8b1,,,-10463,-0x28df,+3045,+0xbe5,+8643,+0x21c3,,
1,<<,5361,-1291,-0x50b,-5625,-0x15f9,,,+2615,+0xa37,,,+11817,+0x2e29
1,<<,5362,-10563,-0x2943,-21413,-0x53a5,,,+2307,+0x903,,,+8569,+0x2179
1,<<,5363,-12057,-0x2f19,,,-13911,-0x3657,+7473,+0x1d31,+8295,+0x2067,,
1,<<,5364,-5075,-0x13d3,-15329,-0x3be1,,,+801,+0x321,+1891,+0x763,,
1,<<,5365,-2161,-0x871,,,-3615,-0xe1f,+4895,+0x131f,,,+21137,+0x5291
1,<<,5366,-4601,-0x11f9,,,-13827,-0x3603,+3879,+0xf27,,,+6853,+0x1ac5
1,<<,5367,-259,-0x103,-8797,-0x225d,,,+635,+0x27b,,,+2993,+0xbb1
1,<<,5368,-633,-0x279,,,-12227,-0x2fc3,+1621,+0x655,+5811,+0x16b3,,
1,<<,5369,-2455,-0x997,-3481,-0xd99,,,+155,+0x9b,,,+6809,+0x1a99
1,<<,5370,-951,-0x3b7,-7473,-0x1d31,,,+1345,+0x541,+2307,+0x903,,
1,<<,5371,-1375,-0x55f,-1665,-0x681,,,+15029,+0x3ab5,+19691,+0x4ceb,,
1,<<,5372,-4263,-0x10a7,-4989,-0x137d,,,+391,+0x187,,,+1885,+0x75d
1,<<,5373,-1431,-0x597,-6085,-0x17c5,,,+2349,+0x92d,+17327,+0x43af,,
1,<<,5374,-4353,-0x1101,,,-36027,-0x8cbb,+9655,+0x25b7,,,+24073,+0x5e09
1,<<,5375,-331,-0x14b,-4885,-0x1315,,,+2865,+0xb31,+12711,+0x31a7,,
1,<<,5376,-123,-0x7b,-2777,-0xad9,,,+1041,+0x411,+1815,+0x717,,
1,<<,5377,-10395,-0x289b,-16269,-0x3f8d,,,+2849,+0xb21,+7151,+0x1bef,,
1,<<,5378,-1827,-0x723,-9285,-0x2445,,,+4005,+0xfa5,+4387,+0x1123,,
1,<<,5379,-927,-0x39f,-4017,-0xfb1,,,+2889,+0xb49,+5639,+0x1607,,
1,<<,5380,-629,-0x275,,,-12227,-0x2fc3,+5013,+0x1395,+28315,+0x6e9b,,
1,<<,5381,-4251,-0x109b,-15505,-0x3c91,,,+13199,+0x338f,,,+17285,+0x4385
1,<<,5382,-19253,-0x4b35,,,-32247,-0x7df7,+4653,+0x122d,+11523,+0x2d03,,
1,<<,5383,-3967,-0xf7f,-4381,-0x111d,,,+4925,+0x133d,+6479,+0x194f,,
1,<<,5384,-413,-0x19d,,,-13175,-0x3377,+3091,+0xc13,,,+6853,+0x1ac5
1,<<,5385,-2799,-0xaef,-3765,-0xeb5,,,+3561,+0xde9,+37655,+0x9317,,
1,<<,5386,-7221,-0x1c35,,,-13251,-0x33c3,+4027,+0xfbb,,,+6897,+0x1af1
1,<<,5387,-1629,-0x65d,,,-2935,-0xb77,+6281,+0x1889,+7103,+0x1bbf,,
1,<<,5388,-6795,-0x1a8b,-7313,-0x1c91,,,+2895,+0xb4f,,,+3813,+0xee5
1,<<,5389,-5419,-0x152b,-10813,-0x2a3d,,,+7637,+0x1dd5,+8891,+0x22bb,,
1,<<,5390,-1077,-0x435,,,-3767,-0xeb7,+387,+0x183,,,+2709,+0xa95
1,<<,5391,-2977,-0xba1,,,-13311,-0x33ff,+1671,+0x687,,,+5789,+0x169d
1,<<,5392,-4379,-0x111b,-19989,-0x4e15,,,+63,+0x3f,,,+9321,+0x2469
1,<<,5393,-465,-0x1d1,,,-13155,-0x3363,+999,+0x3e7,,,+4289,+0x10c1
1,<<,5394,-615,-0x267,-1761,-0x6e1,,,+13699,+0x3583,,,+18037,+0x4675
1,<<,5395,-5661,-0x161d,,,-7767,-0x1e57,+10595,+0x2963,,,+16289,+0x3fa1
1,<<,5396,-3057,-0xbf1,,,-10827,-0x2a4b,+3483,+0xd9b,,,+5125,+0x1405
1,<<,5397,-2289,-0x8f1,,,-2655,-0xa5f,+3399,+0xd47,,,+15909,+0x3e25
1,<<,5398,-7211,-0x1c2b,-11241,-0x2be9,,,+1995,+0x7cb,,,+6429,+0x191d
1,<<,5399,-2977,-0xba1,,,-4539,-0x11bb,+1119,+0x45f,,,+16973,+0x424d
1,<<,5400,-8255,-0x203f,-16685,-0x412d,,,+1821,+0x71d,+13843,+0x3613,,
1,<<,5401,-1051,-0x41b,-2449,-0x991,,,+6755,+0x1a63,,,+20297,+0x4f49
1,<<,5402,-9243,-0x241b,-14541,-0x38cd,,,+6973,+0x1b3d,+17439,+0x441f,,
1,<<,5403,-1095,-0x447,-7237,-0x1c45,,,+5583,+0x15cf,,,+9821,+0x265d
1,<<,5404,-7659,-0x1deb,-19053,-0x4a6d,,,+2127,+0x84f,,,+2845,+0xb1d
1,<<,5405,-2805,-0xaf5,,,-7443,-0x1d13,+3525,+0xdc5,+9711,+0x25ef,,
1,<<,5406,-4815,-0x12cf,-5361,-0x14f1,,,+1225,+0x4c9,+5115,+0x13fb,,
1,<<,5407,-6217,-0x1849,,,-9535,-0x253f,+1565,+0x61d,+3279,+0xccf,,
1,<<,5408,-4235,-0x108b,-47417,-0xb939,,,+2455,+0x997,,,+2781,+0xadd
1,<<,5409,-1605,-0x645,,,-2623,-0xa3f,+1221,+0x4c5,+5127,+0x1407,,
1,<<,5410,-14645,-0x3935,,,-18003,-0x4653,+6559,+0x199f,,,+7249,+0x1c51
1,<<,5411,-5215,-0x145f,-15385,-0x3c19,,,+1071,+0x42f,,,+14541,+0x38cd
1,<<,5412,-3213,-0xc8d,,,-5219,-0x1463,+457,+0x1c9,+6535,+0x1987,,
1,<<,5413,-2715,-0xa9b,-14241,-0x37a1,,,+1775,+0x6ef,,,+3021,+0xbcd
1,<<,5414,-1895,-0x767,-9813,-0x2655,,,+10437,+0x28c5,+25639,+0x6427,,
1,<<,5415,-2875,-0xb3b,-10077,-0x275d,,,+1095,+0x447,,,+10061,+0x274d
1,<<,5416,-3875,-0xf23,-35985,-0x8c91,,,+7825,+0x1e91,+7843,+0x1ea3,,
1,<<,5417,-889,-0x379,,,-1279,-0x4ff,+2847,+0xb1f,,,+16277,+0x3f95
1,<<,5418,-447,-0x1bf,-5373,-0x14fd,,,+733,+0x2dd,+3259,+0xcbb,,
1,<<,5419,-147,-0x93,-1489,-0x5d1,,,+11711,+0x2dbf,,,+20673,+0x50c1
1,<<,5420,-12395,-0x306b,-14853,-0x3a05,,,+943,+0x3af,,,+12357,+0x3045
1,<<,5421,-2923,-0xb6b,-27873,-0x6ce1,,,+14151,+0x3747,,,+21585,+0x5451
1,<<,5422,-1971,-0x7b3,-3021,-0xbcd,,,+435,+0x1b3,,,+597,+0x255
1,<<,5423,-607,-0x25f,-22609,-0x5851,,,+2105,+0x839,+6243,+0x1863,,
1,<<,5424,-4379,-0x111b,-4673,-0x1241,,,+3355,+0xd1b,,,+3553,+0xde1
1,<<,5425,-6361,-0x18d9,,,-7011,-0x1b63,+3621,+0xe25,+6947,+0x1b23,,
1,<<,5426,-12423,-0x3087,-15353,-0x3bf9,,,+4257,+0x10a1,+5335,+0x14d7,,
1,<<,5427,-2695,-0xa87,-4185,-0x1059,,,+753,+0x2f1,+4179,+0x1053,,
1,<<,5428,-5885,-0x16fd,,,-20279,-0x4f37,+1381,+0x565,+9547,+0x254b,,
1,<<,5429,-883,-0x373,-4909,-0x132d,,,+4019,+0xfb3,,,+17049,+0x4299
1,<<,5430,-1841,-0x731,,,-9495,-0x2517,+583,+0x247,,,+4257,+0x10a1
1,<<,5431,-2107,-0x83b,-4029,-0xfbd,,,+3741,+0xe9d,+7791,+0x1e6f,,
1,<<,5432,-657,-0x291,,,-6567,-0x19a7,+2155,+0x86b,,,+5653,+0x1615
1,<<,5433,-3901,-0xf3d,,,-5679,-0x162f,+3431,+0xd67,,,+18485,+0x4835
1,<<,5434,-4253,-0x109d,,,-9411,-0x24c3,+153,+0x99,+1467,+0x5bb,,
1,<<,5435,-69,-0x45,,,-19879,-0x4da7,+3305,+0xce9,+7691,+0x1e0b,,
1,<<,5436,-903,-0x387,-1473,-0x5c1,,,+1473,+0x5c1,+13255,+0x33c7,,
1,<<,5437,-1071,-0x42f,-2805,-0xaf5,,,+3119,+0xc2f,,,+4265,+0x10a9
1,<<,5438,-3723,-0xe8b,-25641,-0x6429,,,+3255,+0xcb7,,,+6193,+0x1831
1,<<,5439,-7675,-0x1dfb,-12697,-0x3199,,,+1839,+0x72f,,,+23181,+0x5a8d
1,<<,5440,-8099,-0x1fa3,-28229,-0x6e45,,,+6937,+0x1b19,+7087,+0x1baf,,
1,<<,5441,-373,-0x175,,,-891,-0x37b,+7727,+0x1e2f,,,+12497,+0x30d1
1,<<,5442,-2067,-0x813,-14405,-0x3845,,,+15607,+0x3cf7,,,+50769,+0xc651
1,<<,5443,-5527,-0x1597,-11157,-0x2b95,,,+605,+0x25d,+611,+0x263,,
1,<<,5444,-4875,-0x130b,-13553,-0x34f1,,,+13141,+0x3355,+22023,+0x5607,,
1,<<,5445,-8881,-0x22b1,,,-11623,-0x2d67,+5735,+0x1667,,,+24521,+0x5fc9
1,<<,5446,-4031,-0xfbf,-7413,-0x1cf5,,,+975,+0x3cf,,,+4117,+0x1015
1,<<,5447,-3667,-0xe53,-8025,-0x1f59,,,+9879,+0x2697,,,+14069,+0x36f5
1,<<,5448,-5165,-0x142d,,,-21083,-0x525b,+1045,+0x415,+7495,+0x1d47,,
1,<<,5449,-3391,-0xd3f,-3981,-0xf8d,,,+2955,+0xb8b,,,+7449,+0x1d19
1,<<,5450,-3057,-0xbf1,,,-10191,-0x27cf,+1293,+0x50d,+5655,+0x1617,,
1,<<,5451,-457,-0x1c9,,,-4339,-0x10f3,+561,+0x231,+22011,+0x55fb,,
1,<<,5452,-3483,-0xd9b,-4829,-0x12dd,,,+1017,+0x3f9,+29203,+0x7213,,
1,<<,5453,-313,-0x139,,,-1395,-0x573,+3065,+0xbf9,+21207,+0x52d7,,
1,<<,5454,-375,-0x177,-3453,-0xd7d,,,+4095,+0xfff,,,+11385,+0x2c79
1,<<,5455,-2631,-0xa47,-6349,-0x18cd,,,+1751,+0x6d7,,,+7773,+0x1e5d
1,<<,5456,-2469,-0x9a5,,,-10395,-0x289b,+4191,+0x105f,,,+5637,+0x1605
1,<<,5457,-4053,-0xfd5,,,-5235,-0x1473,+4995,+0x1383,,,+16629,+0x40f5
1,<<,5458,-3791,-0xecf,-5573,-0x15c5,,,+1677,+0x68d,+3663,+0xe4f,,
1,<<,5459,-5167,-0x142f,-6589,-0x19bd,,,+11369,+0x2c69,+13803,+0x35eb,,
1,<<,5460,-5219,-0x1463,-10353,-0x2871,,,+1753,+0x6d9,+3655,+0xe47,,
1,<<,5461,-11199,-0x2bbf,-11701,-0x2db5,,,+2529,+0x9e1,+4911,+0x132f,,
1,<<,5462,-2285,-0x8ed,,,-3783,-0xec7,+1135,+0x46f,,,+2905,+0xb59
1,<<,5463,-2239,-0x8bf,-14461,-0x387d,,,+4803,+0x12c3,,,+10241,+0x2801
1,<<,5464,-635,-0x27b,-3977,-0xf89,,,+6271,+0x187f,,,+11241,+0x2be9
1,<<,5465,-6121,-0x17e9,,,-9579,-0x256b,+2819,+0xb03,,,+5525,+0x1595
1,<<,5466,-347,-0x15b,-3153,-0xc51,,,+1159,+0x487,,,+7809,+0x1e81
1,<<,5467,-5527,-0x1597,-11509,-0x2cf5,,,+4763,+0x129b,,,+4809,+0x12c9
1,<<,5468,-11945,-0x2ea9,,,-34995,-0x88b3,+777,+0x309,+1027,+0x403,,
1,<<,5469,-3601,-0xe11,,,-4279,-0x10b7,+2531,+0x9e3,,,+3977,+0xf89
1,<<,5470,-4227,-0x1083,-10305,-0x2841,,,+1227,+0x4cb,,,+10773,+0x2a15
1,<<,5471,-2925,-0xb6d,,,-6499,-0x1963,+2189,+0x88d,+8111,+0x1faf,,
1,<<,5472,-3369,-0xd29,,,-9627,-0x259b,+393,+0x189,+12223,+0x2fbf,,
1,<<,5473,-2889,-0xb49,,,-3303,-0xce7,+2295,+0x8f7,,,+4785,+0x12b1
1,<<,5474,-5501,-0x157d,,,-5955,-0x1743,+439,+0x1b7,,,+16353,+0x3fe1
1,<<,5475,-7329,-0x1ca1,,,-13179,-0x337b,+351,+0x15f,,,+9081,+0x2379
1,<<,5476,-2883,-0xb43,-4133,-0x1025,,,+7335,+0x1ca7,,,+7785,+0x1e69
1,<<,5477,-2743,-0xab7,-4273,-0x10b1,,,+3869,+0xf1d,+12219,+0x2fbb,,
1,<<,5478,-1623,-0x657,-4521,-0x11a9,,,+2293,+0x8f5,+9159,+0x23c7,,
1,<<,5479,-12547,-0x3103,-13885,-0x363d,,,+1889,+0x761,+18095,+0x46af,,
1,<<,5480,-6747,-0x1a5b,-10997,-0x2af5,,,+313,+0x139,+631,+0x277,,
1,<<,5481,-285,-0x11d,,,-2523,-0x9db,+2229,+0x8b5,+9935,+0x26cf,,
1,<<,5482,-3401,-0xd49,,,-7743,-0x1e3f,+3793,+0xed1,+15015,+0x3aa7,,
1,<<,5483,-2701,-0xa8d,,,-11511,-0x2cf7,+18293,+0x4775,+27903,+0x6cff,,
1,<<,5484,-7335,-0x1ca7,-10509,-0x290d,,,+63,+0x3f,,,+73,+0x49
1,<<,5485,-189,-0xbd,,,-2211,-0x8a3,+6791,+0x1a87,,,+10881,+0x2a81
1,<<,5486,-1685,-0x695,,,-7523,-0x1d63,+3943,+0xf67,,,+4417,+0x1141
1,<<,5487,-2721,-0xaa1,,,-19459,-0x4c03,+11733,+0x2dd5,+23679,+0x5c7f,,
1,<<,5488,-5699,-0x1643,-15917,-0x3e2d,,,+2517,+0x9d5,+6027,+0x178b,,
1,<<,5489,-1675,-0x68b,-8449,-0x2101,,,+2171,+0x87b,,,+9137,+0x23b1
1,<<,5490,-6087,-0x17c7,-7997,-0x1f3d,,,+3703,+0xe77,,,+6525,+0x197d
1,<<,5491,-175,-0xaf,-397,-0x18d,,,+869,+0x365,+17271,+0x4377,,
1,<<,5492,-1403,-0x57b,-1469,-0x5bd,,,+14715,+0x397b,,,+32425,+0x7ea9
1,<<,5493,-5961,-0x1749,,,-8851,-0x2293,+555,+0x22b,,,+5997,+0x176d
1,<<,5494,-18423,-0x47f7,-20681,-0x50c9,,,+507,+0x1fb,,,+19929,+0x4dd9
1,<<,5495,-199,-0xc7,-5617,-0x15f1,,,+8813,+0x226d,+11795,+0x2e13,,
1,<<,5496,-10859,-0x2a6b,-11165,-0x2b9d,,,+7743,+0x1e3f,,,+15921,+0x3e31
1,<<,5497,-1125,-0x465,,,-3051,-0xbeb,+5117,+0x13fd,+5495,+0x1577,,
1,<<,5498,-1827,-0x723,-6057,-0x17a9,,,+229,+0xe5,+12247,+0x2fd7,,
1,<<,5499,-291,-0x123,-14469,-0x3885,,,+491,+0x1eb,,,+12089,+0x2f39
1,<<,5500,-2589,-0xa1d,,,-3723,-0xe8b,+1591,+0x637,,,+20497,+0x5011
1,<<,5501,-5665,-0x1621,,,-6631,-0x19e7,+3809,+0xee1,+6287,+0x188f,,
1,<<,5502,-9833,-0x2669,,,-22043,-0x561b,+1695,+0x69f,,,+6765,+0x1a6d
1,<<,5503,-7767,-0x1e57,-28489,-0x6f49,,,+2471,+0x9a7,,,+5453,+0x154d
1,<<,5504,-869,-0x365,,,-2043,-0x7fb,+1363,+0x553,,,+1857,+0x741
1,<<,5505,-3709,-0xe7d,,,-7719,-0x1e27,+1571,+0x623,,,+9777,+0x2631
1,<<,5506,-4623,-0x120f,-4901,-0x1325,,,+3189,+0xc75,+9027,+0x2343,,
1,<<,5507,-7065,-0x1b99,,,-17967,-0x462f,+7379,+0x1cd3,,,+28865,+0x70c1
1,<<,5508,-669,-0x29d,,,-4203,-0x106b,+8713,+0x2209,+9451,+0x24eb,,
1,<<,5509,-3183,-0xc6f,-8145,-0x1fd1,,,+149,+0x95,+6531,+0x1983,,
1,<<,5510,-5133,-0x140d,,,-9855,-0x267f,+567,+0x237,,,+9373,+0x249d
1,<<,5511,-3481,-0xd99,,,-11839,-0x2e3f,+1905,+0x771,+5615,+0x15ef,,
1,<<,5512,-6707,-0x1a33,-29793,-0x7461,,,+295,+0x127,,,+9625,+0x2599
1,<<,5513,-2079,-0x81f,-18045,-0x467d,,,+167,+0xa7,,,+9641,+0x25a9
1,<<,5514,-5177,-0x1439,,,-22707,-0x58b3,+2329,+0x919,+6723,+0x1a43,,
1,<<,5515,-2967,-0xb97,-14377,-0x3829,,,+1421,+0x58d,+10523,+0x291b,,
1,<<,5516,-4857,-0x12f9,,,-18299,-0x477b,+7527,+0x1d67,,,+10093,+0x276d
1,<<,5517,-63,-0x3f,-3045,-0xbe5,,,+6125,+0x17ed,+35571,+0x8af3,,
1,<<,5518,-5585,-0x15d1,,,-21455,-0x53cf,+9219,+0x2403,,,+38109,+0x94dd
1,<<,5519,-97,-0x61,,,-9175,-0x23d7,+2669,+0xa6d,+5675,+0x162b,,
1,<<,5520,-1269,-0x4f5,,,-10307,-0x2843,+2145,+0x861,+19167,+0x4adf,,
1,<<,5521,-1033,-0x409,,,-3259,-0xcbb,+8645,+0x21c5,+29535,+0x735f,,
1,<<,5522,-2141,-0x85d,,,-24423,-0x5f67,+9219,+0x2403,,,+16345,+0x3fd9
1,<<,5523,-2895,-0xb4f,-19077,-0x4a85,,,+5553,+0x15b1,+22215,+0x56c7,,
1,<<,5524,-789,-0x315,,,-16343,-0x3fd7,+9883,+0x269b,,,+11785,+0x2e09
1,<<,5525,-793,-0x319,,,-1251,-0x4e3,+1155,+0x483,,,+4565,+0x11d5
1,<<,5526,-12407,-0x3077,-12893,-0x325d,,,+579,+0x243,,,+4309,+0x10d5
1,<<,5527,-1035,-0x40b,-1561,-0x619,,,+14223,+0x378f,,,+18461,+0x481d
1,<<,5528,-5813,-0x16b5,,,-15659,-0x3d2b,+6615,+0x19d7,,,+15681,+0x3d41
1,<<,5529,-3309,-0xced,,,-24691,-0x6073,+7469,+0x1d2d,+23591,+0x5c27,,
1,<<,5530,-4145,-0x1031,,,-23703,-0x5c97,+2433,+0x981,+4855,+0x12f7,,
1,<<,5531,-91,-0x5b,-3649,-0xe41,,,+5481,+0x1569,+18395,+0x47db,,
1,<<,5532,-3323,-0xcfb,-7713,-0x1e21,,,+8097,+0x1fa1,+8247,+0x2037,,
1,<<,5533,-13465,-0x3499,,,-19663,-0x4ccf,+2597,+0xa25,+7247,+0x1c4f,,
1,<<,5534,-497,-0x1f1,,,-11315,-0x2c33,+775,+0x307,,,+2685,+0xa7d
1,<<,5535,-1095,-0x447,-1257,-0x4e9,,,+4055,+0xfd7,,,+12965,+0x32a5
1,<<,5536,-395,-0x18b,-665,-0x299,,,+3201,+0xc81,+28347,+0x6ebb,,
1,<<,5537,-1053,-0x41d,,,-6231,-0x1857,+495,+0x1ef,,,+3597,+0xe0d
1,<<,5538,-555,-0x22b,-31637,-0x7b95,,,+12607,+0x313f,,,+14193,+0x3771
1,<<,5539,-3517,-0xdbd,,,-4315,-0x10db,+3761,+0xeb1,+4995,+0x1383,,
1,<<,5540,-1535,-0x5ff,-9789,-0x263d,,,+2073,+0x819,+6211,+0x1843,,
1,<<,5541,-5415,-0x1527,-49233,-0xc051,,,+3021,+0xbcd,+3099,+0xc1b,,
1,<<,5542,-363,-0x16b,-5117,-0x13fd,,,+6877,+0x1add,+8275,+0x2053,,
1,<<,5543,-1101,-0x44d,,,-1627,-0x65b,+3773,+0xebd,+5931,+0x172b,,
1,<<,5544,-2099,-0x833,-5325,-0x14cd,,,+2601,+0xa29,+8611,+0x21a3,,
1,<<,5545,-1525,-0x5f5,,,-3583,-0xdff,+1751,+0x6d7,,,+11829,+0x2e35
1,<<,5546,-527,-0x20f,-14205,-0x377d,,,+855,+0x357,,,+7617,+0x1dc1
1,<<,5547,-2637,-0xa4d,,,-7195,-0x1c1b,+3,+0x3,,,+13449,+0x3489
1,<<,5548,-8819,-0x2273,-12905,-0x3269,,,+1563,+0x61b,,,+2401,+0x961
1,<<,5549,-2205,-0x89d,,,-25215,-0x627f,+4391,+0x1127,,,+17865,+0x45c9
1,<<,5550,-8391,-0x20c7,-16637,-0x40fd,,,+1267,+0x4f3,,,+3249,+0xcb1
1,<<,5551,-2415,-0x96f,-5325,-0x14cd,,,+2111,+0x83f,,,+2229,+0x8b5
1,<<,5552,-5193,-0x1449,,,-13019,-0x32db,+4101,+0x1005,+25183,+0x625f,,
1,<<,5553,-979,-0x3d3,-38889,-0x97e9,,,+3969,+0xf81,+12387,+0x3063,,
1,<<,5554,-141,-0x8d,,,-1587,-0x633,+1105,+0x451,+12163,+0x2f83,,
1,<<,5555,-595,-0x253,-2641,-0xa51,,,+3695,+0xe6f,,,+9993,+0x2709
1,<<,5556,-14609,-0x3911,,,-25059,-0x61e3,+9943,+0x26d7,,,+12261,+0x2fe5
1,<<,5557,-8071,-0x1f87,-25609,-0x6409,,,+8579,+0x2183,,,+10989,+0x2aed
1,<<,5558,-5663,-0x161f,-19125,-0x4ab5,,,+4249,+0x1099,+10423,+0x28b7,,
1,<<,5559,-11571,-0x2d33,-16597,-0x40d5,,,+435,+0x1b3,,,+549,+0x225
1,<<,5560,-8573,-0x217d,,,-9975,-0x26f7,+1203,+0x4b3,,,+17041,+0x4291
1,<<,5561,-5449,-0x1549,,,-14611,-0x3913,+4659,+0x1233,,,+18617,+0x48b9
1,<<,5562,-1757,-0x6dd,,,-4223,-0x107f,+2487,+0x9b7,,,+4897,+0x1321
1,<<,5563,-4591,-0x11ef,-5869,-0x16ed,,,+9681,+0x25d1,+27663,+0x6c0f,,
1,<<,5564,-2295,-0x8f7,-10377,-0x2889,,,+5097,+0x13e9,+15247,+0x3b8f,,
1,<<,5565,-523,-0x20b,-3441,-0xd71,,,+5451,+0x154b,,,+12549,+0x3105
1,<<,5566,-1371,-0x55b,-2433,-0x981,,,+675,+0x2a3,,,+1929,+0x789
1,<<,5567,-1059,-0x423,-5325,-0x14cd,,,+9,+0x9,+7083,+0x1bab,,
1,<<,5568,-317,-0x13d,,,-4599,-0x11f7,+133,+0x85,+4491,+0x118b,,
1,<<,5569,-661,-0x295,,,-13663,-0x355f,+1761,+0x6e1,+19487,+0x4c1f,,
1,<<,5570,-3027,-0xbd3,-3401,-0xd49,,,+2805,+0xaf5,+4279,+0x10b7,,
1,<<,5571,-8521,-0x2149,,,-13899,-0x364b,+5709,+0x164d,+10059,+0x274b,,
1,<<,5572,-9639,-0x25a7,-21489,-0x53f1,,,+193,+0xc1,+1311,+0x51f,,
1,<<,5573,-1381,-0x565,,,-12463,-0x30af,+1217,+0x4c1,+2519,+0x9d7,,
1,<<,5574,-1071,-0x42f,-2757,-0xac5,,,+8365,+0x20ad,+16923,+0x421b,,
1,<<,5575,-7207,-0x1c27,-14349,-0x380d,,,+2811,+0xafb,,,+20141,+0x4ead
