r1,r2,r3,a1,b1,a2,b2,a3,b3
2,7,11,308,17,1078,57,1694,89
2,7,13,364,9,1274,29,2366,53
2,7,17,476,109,1666,379,4046,919
2,7,19,532,225,1862,785,5054,2129
2,7,23,644,601,2254,2101,7406,6901
2,7,29,812,733,2842,2563,11774,10615
2,7,31,868,137,3038,477,13454,2109
2,11,13,572,417,3146,2289,3718,2705
2,11,17,748,601,4114,3301,6358,5101
2,11,19,836,613,4598,3367,7942,5815
2,11,23,1012,625,5566,3433,11638,7177
2,11,29,1276,941,7018,5171,18502,13631
2,11,31,1364,617,7502,3389,21142,9549
2,13,17,884,825,5746,5357,7514,7005
2,13,19,988,849,6422,5513,9386,8057
2,13,23,1196,681,7774,4421,13754,7821
2,13,29,1508,1113,9802,7229,21866,16125
2,13,31,1612,1557,10478,10115,24986,24119
2,17,19,1292,305,10982,2585,12274,2889
2,17,23,1564,997,13294,8467,17986,11455
2,17,29,1972,1629,16762,13839,28594,23607
2,17,31,2108,505,17918,4285,32674,7813
2,19,23,1748,541,16606,5131,20102,6211
2,19,29,2204,2181,20938,20711,31958,31611
2,19,31,2356,801,22382,7601,36518,12401
2,23,29,2668,1257,30682,14445,38686,18213
2,23,31,2852,845,32798,9707,44206,13083
2,29,31,3596,869,52142,12587,55738,13455
3,4,5,180,73,240,97,300,121
3,4,7,252,211,336,281,588,491
3,4,11,396,343,528,457,1452,1255
3,4,13,468,373,624,497,2028,1613
3,4,17,612,505,816,673,3468,2857
3,4,19,684,175,912,233,4332,1103
3,4,23,828,235,1104,313,6348,1795
3,4,29,1044,253,1392,337,10092,2437
3,4,31,1116,751,1488,1001,11532,7751
3,5,7,315,271,525,451,735,631
3,5,8,360,169,600,281,960,449
3,5,11,495,457,825,761,1815,1673
3,5,13,585,379,975,631,2535,1639
3,5,14,630,313,1050,521,2940,1457
3,5,16,720,217,1200,361,3840,1153
3,5,17,765,421,1275,701,4335,2381
3,5,19,855,748,1425,1246,5415,4732
3,5,22,990,721,1650,1201,7260,5281
3,5,23,1035,349,1725,581,7935,2669
3,5,26,1170,457,1950,761,10140,3953
3,5,28,1260,649,2100,1081,11760,6049
3,5,29,1305,1258,2175,2096,12615,12152
3,5,31,1395,1072,2325,1786,14415,11068
3,5,32,1440,601,2400,1001,15360,6401
3,7,8,504,235,1176,547,1344,625
3,7,10,630,391,1470,911,2100,1301
3,7,11,693,64,1617,148,2541,232
3,7,13,819,787,1911,1835,3549,3407
3,7,16,1008,1003,2352,2339,5376,5345
3,7,17,1071,937,2499,2185,6069,5305
3,7,19,1197,670,2793,1562,7581,4238
3,7,20,1260,451,2940,1051,8400,3001
3,7,22,1386,823,3234,1919,10164,6029
3,7,23,1449,982,3381,2290,11109,7522
3,7,26,1638,397,3822,925,14196,3433
3,7,29,1827,1810,4263,4222,17661,17488
3,7,31,1953,1399,4557,3263,20181,14447
3,7,32,2016,379,4704,883,21504,4033
3,8,11,792,727,2112,1937,2904,2663
3,8,13,936,505,2496,1345,4056,2185
3,8,17,1224,1213,3264,3233,6936,6869
3,8,19,1368,1351,3648,3601,8664,8551
3,8,23,1656,1555,4416,4145,12696,11915
3,8,29,2088,25,5568,65,20184,233
3,8,31,2232,19,5952,49,23064,187
3,10,11,990,487,3300,1621,3630,1783
3,10,13,1170,859,3900,2861,5070,3719
3,10,17,1530,1171,5100,3901,8670,6631
3,10,19,1710,13,5700,41,10830,77
3,10,23,2070,1819,6900,6061,15870,13939
3,10,29,2610,1963,8700,6541,25230,18967
3,10,31,2790,877,9300,2921,28830,9053
3,11,13,1287,1126,4719,4126,5577,4876
3,11,14,1386,43,5082,155,6468,197
3,11,16,1584,919,5808,3367,8448,4897
3,11,17,1683,808,6171,2960,9537,4574
3,11,19,1881,397,6897,1453,11913,2509
3,11,20,1980,7,7260,23,13200,41
3,11,23,2277,52,8349,188,17457,392
3,11,26,2574,2257,9438,8273,22308,19553
3,11,28,2772,379,10164,1387,25872,3529
3,11,29,2871,295,10527,1079,27753,2843
3,11,31,3069,73,11253,265,31713,745
3,11,32,3168,1015,11616,3719,33792,10817
3,13,14,1638,829,7098,3589,7644,3865
3,13,16,1872,337,8112,1457,9984,1793
3,13,17,1989,685,8619,2965,11271,3877
3,13,19,2223,409,9633,1769,14079,2585
3,13,20,2340,2269,10140,9829,15600,15121
3,13,22,2574,1291,11154,5591,18876,9461
3,13,23,2691,1171,11661,5071,20631,8971
3,13,28,3276,1669,14196,7229,30576,15569
3,13,29,3393,2989,14703,12949,32799,28885
3,13,31,3627,3343,15717,14483,37479,34535
3,13,32,3744,721,16224,3121,39936,7681
3,14,17,2142,1735,9996,8093,12138,9827
3,14,19,2394,145,11172,673,15162,913
3,14,23,2898,583,13524,2717,22218,4463
3,14,29,3654,151,17052,701,35322,1451
3,14,31,3906,2575,18228,12013,40362,26599
3,16,17,2448,1261,13056,6721,13872,7141
3,16,19,2736,2623,14592,13985,17328,16607
3,16,23,3312,1387,17664,7393,25392,10627
3,16,29,4176,433,22272,2305,40368,4177
3,16,31,4464,211,23808,1121,46128,2171
3,17,19,2907,2557,16473,14485,18411,16189
3,17,20,3060,781,17340,4421,20400,5201
3,17,22,3366,2359,19074,13363,24684,17293
3,17,23,3519,2473,19941,14009,26979,18953
3,17,26,3978,997,22542,5645,34476,8633
3,17,28,4284,3205,24276,18157,39984,29905
3,17,29,4437,718,25143,4064,42891,6932
3,17,31,4743,2602,26877,14740,49011,26878
