r1,r2,r3,a1,b1,a2,b2,a3,b3
11,13,23,36179,7184,42757,8490,75647,15020
11,13,24,37752,18745,44616,22153,82368,40897
11,13,28,44044,37181,52052,43941,112112,94641
11,13,29,45617,17997,53911,21269,120263,47445
11,13,30,47190,14983,55770,17707,128700,40861
11,13,31,48763,22870,57629,27028,137423,64450
11,13,32,50336,33705,59488,39833,146432,98049
11,14,17,28798,4775,36652,6077,44506,7379
11,14,19,32186,8955,40964,11397,55594,15467
11,14,23,38962,2245,49588,2857,81466,4693
11,14,29,49126,47785,62524,60817,129514,125977
11,14,31,52514,43583,66836,55469,147994,122823
11,16,17,32912,31461,47872,45761,50864,48621
11,16,19,36784,27655,53504,40225,63536,47767
11,16,23,44528,5699,64768,8289,93104,11915
11,16,29,56144,41801,81664,60801,148016,110201
11,16,31,60016,15819,87296,23009,169136,44579
11,17,18,37026,7877,57222,12173,60588,12889
11,17,19,39083,870,60401,1344,67507,1502
11,17,20,41140,8757,63580,13533,74800,15921
11,17,23,47311,25620,73117,39594,98923,53568
11,17,24,49368,42989,76296,66437,107712,93793
11,17,26,53482,53307,82654,82383,126412,125997
11,17,28,57596,41581,89012,64261,146608,105841
11,17,29,59653,35828,92191,55370,157267,94454
11,17,30,61710,31967,95370,49403,168300,87181
11,17,31,63767,16743,98549,25875,179707,47183
11,17,32,65824,24069,101728,37197,191488,70017
11,18,19,41382,7459,67716,12205,71478,12883
11,18,23,50094,2201,81972,3601,104742,4601
11,18,29,63162,1277,103356,2089,166518,3365
11,18,31,67518,20065,110484,32833,190278,56545
11,19,20,45980,17051,79420,29451,83600,31001
11,19,23,52877,51701,91333,89301,110561,108101
11,19,24,55176,49831,95304,86071,120384,108721
11,19,26,59774,48291,103246,83411,141284,114141
11,19,28,64372,10187,111188,17595,163856,25929
11,19,29,66671,9516,115159,16436,175769,25086
11,19,30,68970,36631,119130,63271,188100,99901
11,19,31,71269,8823,123101,15239,200849,24863
11,19,32,73568,60919,127072,105223,214016,177217
11,20,23,55660,51723,101200,94041,116380,108147
11,20,29,70180,55881,127600,101601,185020,147321
11,20,31,75020,12959,136400,23561,211420,36519
11,23,24,66792,45299,139656,94715,145728,98833
11,23,26,72358,61667,151294,128939,171028,145757
11,23,28,77924,66155,162932,138323,198352,168393
11,23,29,80707,23255,168751,48623,212773,61307
11,23,30,83490,27743,174570,58007,227700,75661
11,23,31,86273,4291,180389,8971,243133,12091
11,23,32,89056,42835,186208,89563,259072,124609
11,24,29,84216,46553,183744,101569,222024,122729
11,24,31,90024,66067,196416,144145,253704,186187
11,26,29,91234,30009,215644,70929,240526,79113
11,26,31,97526,55331,230516,130781,274846,155931
11,28,29,98252,65957,250096,167889,259028,173885
11,28,31,105028,7547,267344,19209,295988,21267
11,29,30,105270,86351,277530,227651,287100,235501
11,29,31,108779,35795,286781,94367,306559,100875
11,29,32,112288,20857,296032,54985,326656,60673
11,30,31,112530,21649,306900,59041,317130,61009
11,31,32,120032,16171,338272,45571,349184,47041
12,13,17,31824,15337,34476,16615,45084,21727
12,13,19,35568,32017,38532,34685,56316,50693
12,13,23,43056,37873,46644,41029,82524,72589
12,13,29,54288,47017,58812,50935,131196,113623
12,13,31,58032,48433,62868,52469,149916,125117
12,17,19,46512,46081,65892,65281,73644,72961
12,17,23,56304,1681,79764,2381,107916,3221
12,17,29,70992,36889,100572,52259,171564,89147
12,17,31,75888,30961,107508,43861,196044,79981
12,19,23,62928,2809,99636,4447,120612,5383
12,19,29,79344,15841,125628,25081,191748,38281
12,19,31,84816,79609,134292,126047,219108,205655
12,23,29,96048,72241,184092,138461,232116,174581
12,23,31,102672,30025,196788,57547,265236,77563
12,29,31,129456,63649,312852,153817,334428,164425
13,14,17,40222,5773,43316,6217,52598,7549
13,14,19,44954,28913,48412,31137,65702,42257
13,14,23,54418,14977,58604,16129,96278,26497
13,14,29,68614,28939,73892,31165,153062,64555
13,14,31,73346,10869,78988,11705,174902,25917
13,16,17,45968,13443,56576,16545,60112,17579
13,16,19,51376,8529,63232,10497,75088,12465
13,16,23,62192,30421,76544,37441,110032,53821
13,16,29,78416,17343,96512,21345,174928,38687
13,16,31,83824,21581,103168,26561,199888,51461
13,17,18,51714,20047,67626,26215,71604,27757
13,17,19,54587,39612,71383,51800,79781,57894
13,17,20,57460,52911,75140,69191,88400,81401
13,17,22,63206,32787,82654,42875,106964,55485
13,17,23,66079,24662,86411,32250,116909,43632
13,17,24,68952,21763,90168,28459,127296,40177
13,17,28,80444,30707,105196,40155,173264,66137
13,17,29,83317,26118,108953,34154,185861,58262
13,17,30,86190,53821,112710,70381,198900,124201
13,17,31,89063,42017,116467,54945,212381,100193
13,17,32,91936,25923,120224,33899,226304,63809
13,18,19,57798,34061,80028,47161,84474,49781
13,18,23,69966,65755,96876,91045,123786,116335
13,18,29,88218,87829,122148,121609,196794,195925
13,18,31,94302,11285,130572,15625,224874,26909
13,19,20,64220,62193,93860,90897,98800,95681
13,19,22,70642,56603,103246,82727,119548,95789
13,19,23,73853,48309,107939,70605,130663,85469
13,19,24,77064,72281,112632,105641,142272,133441
13,19,28,89908,37285,131404,54493,193648,80305
13,19,29,93119,65144,136097,95210,207727,145320
13,19,30,96330,95213,140790,139157,222300,219721
13,19,31,99541,45553,145483,66577,237367,108625
13,19,32,102752,39937,150176,58369,252928,98305
13,20,23,77740,2289,119600,3521,137540,4049
13,20,29,98020,71683,150800,110281,218660,159907
13,20,31,104780,103637,161200,159441,249860,247133
13,22,23,85514,5487,144716,9285,151294,9707
13,22,29,107822,42433,182468,71809,240526,94657
13,22,31,115258,27743,195052,46949,274846,66155
13,23,24,93288,19813,165048,35053,172224,36577
13,23,28,108836,61205,192556,108285,234416,131825
13,23,29,112723,62531,199433,110631,251459,139491
13,23,30,116610,99529,206310,176089,269100,229681
13,23,31,120497,23674,213187,41884,287339,56452
13,23,32,124384,45605,220064,80685,306176,112257
13,24,29,117624,62167,217152,114769,262392,138679
13,24,31,125736,116429,232128,214945,299832,277637
13,28,29,137228,60971,295568,131321,306124,136011
13,28,31,146692,137541,315952,296241,349804,327981
13,29,30,147030,111463,327990,248647,339300,257221
13,29,31,151931,52846,338923,117886,362297,126016
13,29,32,156832,64975,349856,144943,386048,159937
13,30,31,157170,97787,362700,225661,374790,233183
13,31,32,167648,163853,399776,390725,412672,403329
14,17,19,63308,27329,76874,33185,85918,37089
14,17,23,76636,64065,93058,77793,125902,105249
14,17,29,96628,24221,117334,29411,200158,50171
14,17,31,103292,57289,125426,69565,228718,126853
14,19,23,85652,64093,116242,86983,140714,105295
14,19,29,107996,36205,146566,49135,223706,74995
14,19,31,115444,101025,156674,137105,255626,223697
14,23,29,130732,20805,214774,34179,270802,43095
14,23,31,139748,30157,229586,49543,309442,66775
14,29,31,176204,104973,364994,217443,390166,232439
16,17,19,82688,29249,87856,31077,98192,34733
16,17,23,100096,20097,106352,21353,143888,28889
16,17,29,126208,74657,134096,79323,228752,135315
16,17,31,134912,33025,143344,35089,261392,63985
16,19,23,111872,83425,132848,99067,160816,119923
16,19,29,141056,16897,167504,20065,255664,30625
16,19,31,150784,42337,179056,50275,292144,82027
16,23,29,170752,6721,245456,9661,309488,12181
16,23,31,182528,178593,262384,256727,353648,346023
16,29,31,230144,167873,417136,304269,445904,325253
17,18,19,98838,48961,104652,51841,110466,54721
17,18,23,119646,27677,126684,29305,161874,37445
17,18,29,150858,133043,159732,140869,257346,226955
17,18,31,161262,50083,170748,53029,294066,91327
17,19,20,109820,45697,122740,51073,129200,53761
17,19,22,120802,60997,135014,68173,156332,78937
17,19,23,126293,27541,141151,30781,170867,37261
17,19,24,131784,106693,147288,119245,186048,150625
17,19,26,142766,42297,159562,47273,218348,64689
17,19,28,153748,134573,171836,150405,253232,221649
17,19,29,159239,25977,177973,29033,271643,44313
17,19,30,164730,101797,184110,113773,290700,179641
17,19,31,170221,150230,190247,167904,310403,273948
17,19,32,175712,144501,196384,161501,330752,272001
17,20,23,132940,22101,156400,26001,179860,29901
17,20,29,167620,75447,197200,88761,285940,128703
17,20,31,179180,36993,210800,43521,326740,67457
17,22,23,146234,35667,189244,46157,197846,48255
17,22,29,184382,45085,238612,58345,314534,76909
17,22,31,197098,44201,255068,57201,359414,80601
17,23,24,159528,120089,215832,162473,225216,169537
17,23,26,172822,45289,233818,61273,264316,69265
17,23,28,186116,171089,251804,231473,306544,281793
17,23,29,192763,104398,260797,141244,328831,178090
17,23,30,199410,31961,269790,43241,351900,56401
17,23,31,206057,48893,278783,66149,375751,89157
17,23,32,212704,9929,287776,13433,400384,18689
17,24,29,201144,173435,283968,244849,343128,295859
17,24,31,215016,133825,303552,188929,392088,244033
17,26,29,217906,84763,333268,129637,371722,144595
17,26,31,232934,139367,356252,213149,424762,254139
17,28,29,234668,195535,386512,322057,400316,333559
17,28,31,250852,146677,413168,241585,457436,267469
17,29,30,251430,137327,428910,234263,443700,242341
17,29,31,259811,37503,443207,63975,473773,68387
17,29,32,268192,86395,457504,147379,504832,162625
17,30,31,268770,87313,474300,154081,490110,159217
17,31,32,286688,254865,522784,464753,539648,479745
18,19,23,141588,108001,149454,114001,180918,138001
18,19,29,178524,96769,188442,102145,287622,155905
18,19,31,190836,122653,201438,129467,328662,211235
18,23,29,216108,150049,276138,191729,348174,241745
18,23,31,231012,158761,295182,202861,397854,273421
18,29,31,291276,15013,469278,24187,501642,25855
19,20,23,166060,122627,174800,129081,201020,148443
19,20,29,209380,167809,220400,176641,319580,256129
19,20,31,223820,130151,235600,137001,365180,212351
19,22,23,182666,128175,211508,148413,221122,155159
19,22,29,230318,162527,266684,188189,351538,248067
19,22,31,246202,165301,285076,191401,401698,269701
19,23,24,199272,94051,241224,113851,251712,118801
19,23,26,215878,102221,261326,123741,295412,139881
19,23,28,232484,68895,281428,83399,342608,101529
19,23,29,240787,88313,291479,106905,367517,134793
19,23,30,249090,181717,301530,219973,393300,286921
19,23,31,257393,205885,311581,249229,419957,335917
19,23,32,265696,58331,321632,70611,447488,98241
19,24,29,251256,15049,317376,19009,383496,22969
19,24,31,268584,198323,339264,250513,438216,323579
19,26,29,272194,65817,372476,90065,415454,100457
19,26,31,290966,23105,398164,31617,474734,37697
19,28,29,293132,288801,431984,425601,447412,440801
19,28,31,313348,215043,461776,316905,511252,350859
19,29,30,314070,176359,479370,269179,495900,278461
19,29,31,324539,253233,495349,386513,529511,413169
19,29,32,335008,54417,511328,83057,564224,91649
19,30,31,335730,333641,530100,526801,547770,544361
19,31,32,358112,3763,584288,6139,603136,6337
20,23,29,266800,101281,306820,116473,386860,146857
20,23,31,285200,156041,327980,179447,442060,241863
20,29,31,359600,358401,521420,519681,557380,555521
22,23,29,322828,180577,337502,188785,425546,238033
22,23,31,345092,287365,360778,300427,486266,404923
22,29,31,435116,65297,573562,86073,613118,92009
23,24,29,368184,126317,384192,131809,464232,159269
23,24,31,393576,127927,410688,133489,530472,172423
23,26,29,398866,66379,450892,75037,502918,83695
23,26,31,426374,128295,481988,145029,574678,172919
23,28,29,429548,212245,522928,258385,541604,267613
23,28,31,459172,353511,558992,430361,618884,476471
23,29,30,460230,13433,580290,16937,600300,17521
23,29,31,475571,237890,599633,299948,640987,320634
23,29,32,490912,61917,618976,78069,683008,86145
23,30,31,491970,240397,641700,313561,663090,324013
23,31,32,524768,325911,707296,439271,730112,453441
24,29,31,517824,290017,625704,350437,668856,374605
26,29,31,607724,496757,677846,554075,724594,592287
28,29,31,704816,494929,729988,512605,780332,547957
29,30,31,782130,389761,809100,403201,836070,416641
29,31,32,834272,60669,891808,64853,920576,66945
